variable,coefficient,p_value,significant
Intercept,3.560082544875443,1.2585695491055493e-09,Yes
goals_2nd,-0.05216888530197936,0.552198091241541,No
subs_2nd,-0.012292138542793013,0.8666432320243314,No
cards_2nd,0.03390626172288949,0.5946807893296859,No
var_2nd,0.3045696989165258,0.00012057198973038499,Yes
injuries_2nd,0.28844509882282204,0.0067989877864831514,Yes
disturbances_2nd,0.8245370658017058,0.0027087839417679594,Yes
pressure_add_90,1.3244504372625694,7.186151966557764e-05,Yes
pressure_draw_90,1.0260309048409058,0.0016688768193753945,Yes
pressure_end_90,0.7563955727737336,0.010606662864230848,Yes
is_ruckrunde,-0.01497977697010036,0.9428715153690491,No
