variable,coefficient,p_value,significant
Intercept,0.45620750423870315,3.620929893819094e-05,Yes
ot_goals_45,0.23043923573863478,0.15091628025752113,No
ot_subs_45,0.23712563585601498,0.46684998771006303,No
ot_cards_45,0.18896578651797413,0.1438388550839571,No
ot_var_45,0.39388037312156804,8.83292131811761e-05,Yes
ot_injuries_45,-0.4542993657225534,0.3224319586069464,No
ot_disturbances_45,-4.65024722237313e-16,0.15550179362385647,No
pressure_add_45,-0.11892031523699306,0.5387396774173548,No
pressure_draw_45,-0.10457068942866148,0.424413042602205,No
pressure_end_45,0.022207012568717314,0.8785853807465445,No
is_ruckrunde,-0.1542029327078067,0.13922236349274317,No
